policy_id,claim_id,customer_id,customer_name,ssn,email,phone,address,zip_code,state,policy_type,coverage_amount,premium,deductible,policy_start,policy_end,claim_date,claim_amount,claim_status,adjuster,settlement_amount,last_updated
POL-0000199,CLM-00000199,CUST-28608,Lauren Davenport,492-92-9617,elliottscott@example.net,(591)440-8436x45507,741 Lewis Curve,61044,AZ,Home,1899374.52,9227.91,7463.36,2021-01-21,2026-01-20,2021-10-31,842033.25,Submitted,,,2022-07-25
POL-0000200,CLM-00000200,CUST-49175,Tammy Keller,407-62-9574,shafferbobby@example.net,2403409731,8842 Price Trail,76971,WA,Health,1858064.1,4605.95,3118.06,2022-03-30,2023-03-30,2022-11-07,525176.22,Settled,Michelle Davis,457198.42,2024-05-19
POL-0000201,CLM-00000201,CUST-40682,Marcus Lewis,973-92-7531,julia34@example.org,(607)441-1328,2009 Martinez Light Apt. 069,18424,TX,Home,1517667.93,19905.71,8677.8,2020-12-04,2024-12-03,2021-10-10,926412.34,Settled,Michelle Davis,906058.8,2026-02-15
POL-0000202,CLM-00000202,CUST-80737,Justin Clark,492-39-7993,jody48@example.com,655-802-5717x601,44569 Willis Circles,44514,AZ,Home,895338.46,11425.01,2499.03,2024-04-12,2029-04-11,2024-12-17,635623.95,Under Review,Douglas Ferguson,,2025-11-15
POL-0000203,CLM-00000203,CUST-11503,Aaron Vargas,118-67-6918,sherryhoffman@example.net,595.300.6254x525,83199 Scott Expressway,62050,WA,Health,468295.34,2500.15,6598.55,2025-02-27,2029-02-26,2025-04-29,139483.29,Rejected,John Meyer,,2025-06-12
POL-0000204,CLM-00000204,CUST-85197,Michelle Thompson,152-22-2086,bennettjoyce@example.org,954-659-2088x1846,859 Martinez Neck Suite 860,999,AZ,Auto,1421588.42,19772.76,7989.89,2024-12-13,2025-12-13,2025-09-26,1084344.95,Under Review,Eric Butler,,2025-07-23
POL-0000205,CLM-00000205,CUST-75179,Tommy Moss,594-92-9233,ocoleman@example.org,8667595690,5383 Mejia Island,47939,NC,Home,1622995.34,5854.3,5285.77,2023-10-26,2024-10-25,2024-05-19,1159676.92,Rejected,,,2025-07-04
POL-0000206,,CUST-32425,James Zimmerman,665-92-1060,mdowns@example.org,(910)401-7125x0660,7548 Faith Tunnel Apt. 443,78403,FL,Commercial,1415365.33,3311.54,1915.98,2024-12-05,2028-12-04,2024-12-05,469063.32,Approved,Kenneth White,,2025-03-02
POL-0000207,CLM-00000207,CUST-64163,Tina Reese,433-21-8749,david62@example.org,001-909-634-4261,88276 Susan Corner Suite 509,90098,WA,Commercial,595424.26,4541.71,4240.05,2022-09-05,2025-09-04,2023-01-05,184850.38,Submitted,,,2026-03-08
POL-0000208,CLM-00000208,CUST-49152,Morgan Smith,323-79-9682,vjohnson@example.org,4264943313,7065 Patricia Wells Suite 094,85528,NY,Life,1700125.95,20067.96,1961.77,2020-05-04,2022-05-04,2022-04-18,482716.87,Rejected,Renee Patel,,2025-05-27
POL-0000209,CLM-00000209,CUST-61823,Christopher Mckee MD,713-19-8457,danielle38@example.org,3339619251,4316 Cheryl Pike Apt. 382,37365,GA,Auto,60332.75,572.44,3812.14,2023-03-08,2026-03-07,2024-07-02,27935.84,Submitted,,,2025-12-10
POL-0000210,CLM-00000210,CUST-51301,Mindy Stephens,681-80-5290,ocarrillo@example.net,(546)649-3399,8870 Jonathan Mountain,31689,CA,Home,1951217.34,4557.7,8171.93,2022-03-02,2026-03-01,2022-04-13,462883.97,Rejected,Victor Morgan,,2025-06-21
POL-0000211,,CUST-45111,Monica Alexander,968-59-6363,allenlisa@example.org,247.991.4869x960,461 Strickland Drives,49954,FL,Commercial,942260.22,13526.98,4728.29,2024-02-13,2027-02-12,2024-02-17,36336.66,Settled,Michelle Davis,33756.14,2025-08-06
POL-0000212,CLM-00000212,CUST-63711,Tammy Shannon,653-15-9030,rarellano@example.net,691-626-0443x256,28875 Brent Grove Suite 762,,NY,Health,230440.13,2636.22,698.68,2024-12-26,2028-12-25,2025-12-04,111423.65,Submitted,,,2024-08-26
POL-0000213,CLM-00000213,CUST-97628,Danny Burke,147-16-3931,allen84@example.net,701.898.5894x49093,85406 Stephens Drive,51670,FL,Health,1836059.57,4266.24,9215.42,2022-05-21,2023-05-21,2022-12-14,835928.28,Rejected,,,2025-08-25
POL-0000214,,CUST-55044,Marissa Jefferson,427-33-3310,scottchen@example.org,247.425.5603,056 Stephanie Pine,48802,CA,Commercial,1548214.76,9351.75,1860.64,2022-02-03,2025-02-02,2023-12-27,269068.39,Under Review,John Meyer,,2024-09-19
POL-0000215,,CUST-13039,Joanna Torres,273-56-5224,charlotte28@example.com,9403618804,861 Cruz Fork Suite 425,94139,CA,Commercial,1312698.08,6935.45,1027.28,2022-07-31,2025-07-30,2024-08-31,421614.64,Submitted,,,2024-11-10
POL-0000216,CLM-00000216,CUST-53167,Jessica Scott,811-50-2598,sferguson@example.org,771-272-1930,5925 Winters Mill Apt. 490,79404,AZ,Home,1142686.95,7031.5,7235.2,2020-06-28,2022-06-28,2022-02-14,368209.64,Approved,Wendy Smith,,2025-10-16
POL-0000217,,CUST-88569,Jeremy Lawrence,770-32-7678,fosterteresa@example.net,(876)978-1767x4997,8143 Herring Mission Apt. 633,30455,FL,Commercial,849411.2,11942.73,8136.94,2020-09-13,2022-09-13,2020-09-27,576319.24,Approved,Louis Moyer,,2024-10-14
POL-0000218,CLM-00000218,CUST-23019,Ms. Allison Jones PhD,393-98-4219,hbrooks@example.net,911.584.0002x7541,558 Villa Villages,ABCDE,CA,Home,313691.25,1039.9,2554.24,2022-09-19,2026-09-18,2023-01-16,243046.57,Under Review,,,2025-03-09
POL-0000219,CLM-00000219,CUST-48015,Heidi Murphy,563-15-1349,michelle95@example.com,551-272-0135,713 John Village,75183,GA,Commercial,1005801.16,9533.94,7482.87,2023-05-07,2028-05-05,2024-01-22,294719.48,Settled,,241905.88,2024-11-17
POL-0000220,,CUST-49754,William Delgado,692-17-9109,andrewlloyd@example.org,7287250150,737 Mullins Avenue Suite 735,11402,TX,Health,453830.4,2226.69,4366.59,2023-11-28,2025-11-27,2025-03-14,306183.26,Submitted,,,2024-08-01
POL-0000221,CLM-00000221,CUST-79183,Cassandra Perry,578-75-6146,cameron14@example.net,4555684296,5553 Gomez Prairie Suite 977,21668,NC,health,1085437.7,4843.2,1229.87,2024-03-06,2028-03-05,2025-01-22,533543.41,Rejected,Denise Green,,2026-01-19
POL-0000222,CLM-00000222,CUST-80959,Jasmine Miller,860-73-6453,huntjacob@example.com,+1-870-202-5394x6895,87722 Thompson Plains Suite 070,66405,TX,Commercial,1239603.93,13669.6,6329.29,2022-05-27,2026-05-26,2023-02-08,36969.39,Under Review,Karen Miller,,2024-05-03
POL-0000223,CLM-00000223,CUST-17055,William May,335-82-8578,reedbradley@example.org,(689)977-4043x968,11813 Christina Cove,72659,AZ,Life,1922034.51,9641.46,5259.52,2021-05-05,2024-05-04,2022-12-13,1522061.89,Settled,Jennifer Reid,1067140.0,2024-11-12
POL-0000224,CLM-00000224,CUST-64767,Robert Smith,846-97-6118,martinmary@example.com,+1-728-776-1453x590,2461 Jarvis Springs,68298,IL,Health,519817.79,6345.33,8268.87,2023-04-12,2024-04-11,2023-05-09,396741.78,Under Review,Eric Butler,,2024-08-15
POL-0000225,CLM-00000225,CUST-99526,Jennifer Thompson,664-59-6968,bfoster@example.net,001-467-823-7478x4327,15989 Gabriel Stream Apt. 365,39384,NC,Home,1629979.24,6948.4,9103.32,2023-09-23,2025-09-22,2025-02-17,1215020.87,Submitted,,,2025-11-21
POL-0000226,CLM-00000226,CUST-90673,Michael Watkins,334-48-3739,becky63@example.org,995.278.7135x05520,05483 Jennifer Tunnel,91862,TX,Health,1878062.74,25709.32,4520.11,2024-11-17,2026-11-17,2025-12-30,390018.32,Rejected,Brian Hernandez,,2024-05-23
POL-0000227,CLM-00000227,CUST-51510,Brittney Harris,186-90-5101,tcarter@example.org,667.310.1951,124 Kristen Common Apt. 755,86332,TX,Auto,942735.92,12702.15,932.32,2023-02-08,2027-02-07,2023-09-15,647220.65,Rejected,Karen Miller,,2025-04-01
POL-0000228,CLM-00000228,CUST-70055,Melissa Cain,686-29-5140,meganhendricks@example.net,606.566.1298x7987,545 Murphy Mountain,78620,AZ,Home,363276.83,5405.16,4758.9,2023-05-29,2024-05-28,2023-10-30,65795.32,Submitted,,,2025-03-09
POL-0000229,CLM-00000229,CUST-15123,Andrea Cunningham,887-52-7284,cmalone@example.org,3465745771,318 Justin Pike,70204,NC,Auto,464564.65,1676.71,4627.24,2023-03-11,2024-03-10,2023-11-14,236649.83,Under Review,Phillip Sherman,,2024-11-25
POL-0000230,CLM-00000230,CUST-44434,William Little,219-39-3982,floresjames@example.net,885-873-8454x31056,2274 Mary Overpass,52872,GA,Life,549334.22,6229.04,304.48,2024-12-22,2026-12-22,2025-10-12,171896.05,Rejected,Brett White,,2025-09-30
POL-0000231,CLM-00000231,CUST-85849,Andrea Key,234-26-9263,yolandapowers@example.com,954.822.2425x01349,28652 Laurie Crescent,32301,NY,Health,1857326.18,17971.53,1659.73,2021-10-26,2024-10-25,2021-12-08,1353414.96,Settled,Jesse Tyler,924045.68,2026-02-13
POL-0000232,CLM-00000232,CUST-77405,Jill Logan,519-12-9130,wrightalan@example.com,+1-210-450-9497x7254,382 Gary Heights,15304,FL,Commercial,70759.27,416.31,590.07,2024-11-17,2028-11-16,2025-12-09,37825.61,Submitted,,,2024-11-18
POL-0000233,CLM-00000233,CUST-28116,Chad West,687-57-2914,amber97@example.com,(443)261-6966,683 John Burg Suite 862,92554,CO,Home,1012655.69,10897.4,9959.51,2023-03-10,2025-03-09,2024-06-24,152166.99,Approved,Wendy Smith,,2024-02-12
POL-0000234,CLM-00000234,CUST-25658,Cheryl Beasley,488-15-3530,ethompson@example.net,894.434.2120,2801 David Common Apt. 905,97711,AZ,Commercial,672980.03,5065.43,9703.6,2021-05-21,2024-05-20,2022-01-21,206606.85,Settled,Brian Hernandez,168160.93,2024-12-31
POL-0000235,CLM-00000235,CUST-22528,Leah Adams,236-77-1906,jacquelinehart@example.org,542.579.1533x530,966 Jennifer Plains Suite 566,89874,GA,Commercial,1632208.11,21077.63,3648.9,2022-07-21,2026-07-20,2023-10-04,1016132.91,Approved,,,2024-08-29
POL-0000236,CLM-00000236,CUST-37793,Austin Smith,180-60-2800,morrislaura@example.org,+1-504-359-9278x938,24487 Miller Club Apt. 679,,WA,Home,1766859.79,22122.83,4851.41,2023-02-15,2025-02-14,2023-11-14,149083.86,Settled,Wendy Smith,130292.38,2025-12-29
POL-0000237,,CUST-27094,Eric Mckay,722-28-9788,nicholasboone@example.net,001-434-467-4013x4287,26112 William Springs,60183,NC,Health,892830.7,1885.28,1893.38,2023-08-22,2028-08-20,2025-02-23,74768.63,Approved,Karen Miller,,2025-03-04
POL-0000238,CLM-00000238,CUST-91264,John Cole,509-50-6860,glenclark@example.com,(534)686-2977,9285 Robert Meadow Apt. 683,73894,IL,Auto,1263369.11,3234.2,5137.03,2020-07-10,2025-07-09,2021-03-13,328041.35,Under Review,Victor Morgan,,2024-08-20
POL-0000239,CLM-00000239,CUST-92858,Catherine Graham,892-98-1719,ztucker@example.org,596.648.7334x9291,942 Johnson Spurs,56354,GA,Commercial,1086061.74,2882.31,2593.0,2020-09-25,2023-09-25,2022-02-20,769498.38,Settled,Wendy Smith,607920.63,2025-05-07
POL-0000240,CLM-00000240,CUST-93950,Andrew Baxter,952-79-5989,eroberts@example.net,+1-661-940-4503x872,8892 Paul Turnpike Apt. 532,39036,IL,Health,1084362.37,7745.48,1674.1,2023-09-11,2028-09-09,2025-02-23,525796.95,Settled,Douglas Ferguson,437417.69,2024-05-25
POL-0000241,,CUST-99072,Bradley Nguyen,759-26-2725,michael64@example.com,971.272.6788,0703 Brett Station Suite 274,82693,CO,Commercial,1146459.62,10845.32,430.14,2024-02-14,2025-02-13,2024-06-14,335553.0,Approved,Jennifer Reid,,2025-05-02
POL-0000242,CLM-00000242,CUST-75924,John Moody,192-52-4765,brewermonica@example.org,001-920-486-1383x3395,30337 Nicole Oval Suite 090,19323,CA,Life,935241.07,13660.51,2399.0,2023-10-25,2027-10-24,2026-01-11,2073757.5258953474,Settled,Karen Miller,142523.42,2025-02-10
POL-0000243,CLM-00000243,CUST-27918,Adriana Nunez,461-39-9859,youngbrian@example.org,898.519.0014x2431,89197 Nguyen Ways Apt. 857,82715,IL,Health,903145.89,10086.93,1656.04,2022-03-11,2026-03-10,2024-07-08,249812.61,Settled,,208637.41,2022-05-31
POL-0000244,CLM-00000244,CUST-28337,Susan Davis,819-55-9520,uashley@example.net,341.623.8042x72050,36163 Ramirez Gateway,43071,NC,Commercial,1576961.72,19176.34,7762.46,2022-11-20,2023-11-20,2023-10-19,181050.92,Under Review,,,2024-07-11
POL-0000245,CLM-00000245,CUST-27974,Nathan Johnston,199-26-2836,charleshampton@example.org,+1-608-927-4810x4430,519 Ramirez Isle Suite 275,67446,TX,Auto,1518241.15,8978.99,2897.68,2023-06-10,2018-10-13,2024-06-25,513146.41,Rejected,Renee Patel,,2024-07-10
POL-0000246,CLM-00000246,CUST-12398,John Wu,794-98-2155,beverly93@example.net,686.246.6366x23853,87376 Sarah Branch,98497,GA,Commercial,40608.18,130.63,284.44,2022-07-07,2025-07-06,2025-01-25,22034.43,Rejected,Brett White,,2024-07-22
POL-0000247,CLM-00000247,CUST-74189,Richard Harrington,337-11-6486,christophermitchell@example.org,214.353.2158,320 Stephanie Light Suite 842,54619,TX,Auto,1781147.17,18249.15,7939.1,2022-05-27,2024-05-26,2023-05-08,690571.37,Settled,,537777.2,2024-04-29
POL-0000248,CLM-00000248,CUST-98470,Brandon Solis,907-48-1148,hannahhoward@example.com,450.816.4936x939,234 Emily Bridge Suite 312,67108,IL,Auto,352155.6,4935.92,1250.28,2020-08-04,2024-08-03,2022-04-06,86743.5,Under Review,Caleb West,,2024-05-18
POL-0000249,CLM-00000249,CUST-50682,Theresa Ayala,304-61-2136,zeverett@example.org,(602)799-7167x144,56170 Fleming Village Suite 406,00000,IL,Auto,1115957.09,7522.05,568.22,2024-04-08,2028-04-07,2024-07-31,2752058.092125875,Under Review,,,2025-08-31
POL-0000250,CLM-00000250,CUST-66984,Vanessa Johnson,649-64-8010,awiley@example.net,656.801.3096,874 Donald Extension Suite 253,33875,AZ,Home,41518.45,269.37,3111.23,2021-09-07,2026-09-06,2025-12-21,8008.57,Under Review,Michelle Davis,,2025-05-13
POL-0000251,CLM-00000251,CUST-29752,Lauren West,135-82-5624,gainesdaniel@example.com,(408)616-7795x133,95332 Franklin Street Apt. 998,82817,NC,Health,1545379.87,11256.24,8431.24,2023-08-12,2028-08-10,2025-05-29,248879.55,Under Review,Karen Miller,,2024-06-22
POL-0000252,,CUST-78830,Hayden Barron,583-14-2101,trujillolinda@example.net,001-807-764-7173x323,516 Kane Skyway,19080,IL,Home,1769046.86,6137.44,5272.86,2022-05-21,2023-05-21,2022-12-16,1271767.99,Settled,,1161898.51,2024-04-14
POL-0000253,,CUST-61109,Michael Robles,572-78-4788,brycenelson@example.com,568.638.5805x9093,1050 Monique Rest,57890,TX,Auto,957984.15,13983.9,7882.79,2021-04-19,2023-04-19,2021-05-28,629773.9,Settled,John Meyer,417588.1,2024-07-17
POL-0000254,CLM-00000254,CUST-44708,Gary Page,747-35-7732,tracyphillips@example.com,+1-331-463-2540x43651,701 Moran Extensions,33713,CO,Home,1021254.7,13348.55,7294.49,2024-03-03,2025-03-03,2024-03-29,422649.33,Under Review,Denise Green,,2024-09-30
POL-0000255,CLM-00000255,CUST-87513,Jerry Farmer,830-31-3714,hawkinsleslie@example.org,+1-311-650-7420,896 Anderson Manors,93838,TX,Life,433805.71,2167.58,3231.31,2022-10-18,2026-10-17,2022-12-06,51626.09,Rejected,Jennifer Reid,,2022-02-09
POL-0000256,CLM-00000256,CUST-62979,Edward Myers,120-55-7490,colleenedwards@example.org,001-640-575-6613x137,0034 Ashley Plains,51736,CO,Life,153118.26,2120.52,2709.84,2023-06-24,2027-06-23,2024-06-27,49412.84,Settled,,30181.16,2024-06-17
POL-0000257,CLM-00000257,CUST-32008,Benjamin Bradshaw,491-20-8036,kfrye@example.net,+1-496-996-1850,37363 Flores Stravenue,95569,CO,Health,1445602.39,6644.12,9675.46,2022-07-01,2025-06-30,2025-01-06,470360.85,Approved,Renee Patel,,2025-01-12
POL-0000258,CLM-00000258,CUST-61370,Tyler Hamilton,273-20-8249,jamesgarcia@example.com,3944403684,3856 Melissa Ports,04853,IL,Home,320725.53,2458.6,3172.35,2022-09-08,2023-09-08,2023-08-29,87038.38,Submitted,,,2022-01-18
POL-0000259,CLM-00000259,CUST-98774,Brittany Smith,526-50-7147,timothyvasquez@example.com,+1-550-633-6665,62154 Rhonda Isle Apt. 041,66649,FL,Home,126006.07,367.22,4102.56,2024-04-03,2027-04-03,2024-12-15,14917.48,Submitted,,,2025-09-20
POL-0000260,CLM-00000260,CUST-50052,Pedro Griffin,574-60-7340,thompsonjessica@example.net,592.218.5370,2722 Catherine Lodge Apt. 759,25304,CA,Auto,813720.52,9829.71,2374.54,2024-07-19,2027-07-19,2025-08-02,160395.26,Submitted,,,2025-05-22
POL-0000261,CLM-00000261,CUST-47211,Daniel Costa,589-58-7223,craigjohn@example.com,+1-227-560-9398,852 Neil Fields Suite 477,11557,CO,Life,1237286.11,10403.78,7346.5,2022-04-10,2024-04-09,2023-08-01,475825.2,Settled,Kenneth White,343570.3,2025-01-11
POL-0000262,CLM-00000262,CUST-19453,Connie Petersen,280-78-9053,jonathonwilliams@example.net,658-910-8585x8253,478 Garner Prairie,32313,GA,Health,1790187.99,6690.19,7426.73,2020-07-05,2022-07-05,2020-10-20,241936.48,Settled,Eric Butler,186451.84,2026-02-22
POL-0000263,CLM-00000263,CUST-82575,Katie Solis,572-67-5695,bpatterson@example.com,+1-407-964-9397x2390,485 Vazquez Knolls,96120,NC,Health,327331.17,3134.77,7006.99,2023-07-09,2024-07-08,2024-02-10,218551.6,Settled,,166715.82,2024-11-02
POL-0000264,CLM-00000264,CUST-21830,Ashley Hunter,840-11-5821,hjordan@example.net,504.304.9558,273 Stephanie Rapid,36889,CA,Commercial,252338.5,1900.13,8374.26,2021-03-15,2026-03-14,2023-06-11,170977.59,Approved,Karen Miller,,2025-01-03
POL-0000265,CLM-00000265,CUST-44881,Lisa Williams,633-19-1494,morgan16@example.com,001-231-353-9900,977 Bailey Mill,15345,GA,Life,654010.1,3653.78,973.76,2024-06-21,2026-06-21,2025-08-19,272748.61,Rejected,Douglas Ferguson,,2025-10-14
POL-0000266,CLM-00000266,CUST-51540,Samantha Martin,171-33-1419,david92@example.org,001-675-790-3901x38412,732 Harris Well,65196,WA,Auto,1832870.15,6306.92,7967.44,2024-04-04,2027-04-04,2024-10-29,902790.6,Settled,Renee Patel,551184.53,2024-10-01
POL-0000267,CLM-00000267,CUST-73368,Robert Stafford,107-24-7886,joshua43@example.com,755.843.7069x5459,44995 Adam Alley,07419,CO,Home,1007331.79,15095.3,9213.87,2022-08-14,2026-08-13,2023-08-21,709529.19,Approved,Eric Butler,,2025-11-11
POL-0000268,CLM-00000268,CUST-41996,Jacob Cooper,789-81-2182,aadams@example.org,728.477.0564,782 Weber Trail Suite 348,71320,NY,Home,394276.58,3556.65,3477.76,2020-08-05,2022-08-05,2022-06-26,39674.29,Submitted,,,2024-06-18
POL-0000269,CLM-00000269,CUST-39603,Joseph Stevens,474-93-2111,kimberlybullock@example.net,530-725-6260,994 Johnson Mountains,19212,FL,Commercial,1382208.32,20406.51,3286.31,2023-08-27,2027-08-26,2024-12-26,1036362.82,Approved,,,2025-04-22
POL-0000270,CLM-00000270,CUST-89041,Kristen Lowery,472-27-5753,john30@example.org,906-982-6163x59322,5763 Fuller Cliff Suite 281,20355,CA,auto,1626558.66,21221.11,807.43,2022-06-11,2027-06-10,2024-03-25,285125.25,Settled,Victor Morgan,261052.66,2025-07-12
POL-0000271,,CUST-82896,Michael Owens,625-15-6172,pramirez@example.net,2635355785,9912 Farley Causeway Apt. 548,87972,CO,Life,1468022.72,15175.2,2308.64,2023-10-15,2024-10-14,2023-11-23,754753.13,Rejected,Renee Patel,,2025-05-25
POL-0000272,CLM-00000272,CUST-30351,Brittany Taylor,483-72-1918,nicholslisa@example.net,+1-686-719-5714x1479,3123 Tina Dam,19386,FL,Health,680397.38,2309.96,5543.24,2023-05-25,2024-05-24,2023-11-21,286649.69,Settled,Douglas Ferguson,218126.31,2024-07-06
POL-0000273,CLM-00000273,CUST-22283,Jim Bailey,363-88-9288,allenbrandi@example.net,968-612-0952x0591,948 Riley Villages,41956,CO,Home,329808.37,4569.69,8913.75,2023-06-03,2024-06-02,2024-04-24,142249.64,Under Review,Dr. Tina Reyes MD,,2024-12-19
POL-0000274,CLM-00000274,CUST-57951,John Young,364-96-4080,nrodriguez@example.net,001-211-555-7630x657,619 Randy Fort,66580,GA,Health,1654977.53,19238.89,922.2,2023-06-21,2024-06-20,2024-01-25,638512.3,Submitted,,,2025-08-13
POL-0000275,CLM-00000275,CUST-93798,William White,968-49-5667,karenjohnson@example.org,(629)681-2489,3536 Johnathan Passage,44030,CO,Life,1119864.1,6355.93,7084.04,2023-07-04,2025-07-03,2025-05-30,199466.52,Rejected,Jesse Tyler,,2023-08-28
POL-0000276,CLM-00000276,CUST-71036,Steven George,660-44-6589,anitaadams@example.net,(344)911-3397x3691,7421 Walker Bypass Apt. 686,37445,GA,Home,473232.76,5448.83,8699.28,2023-03-17,2019-01-21,2024-02-08,243454.06,Rejected,Brett White,,2024-05-09
POL-0000277,CLM-00000277,CUST-10439,Michael Williams,710-59-6035,msnyder@example.net,(847)565-2538,3153 Crystal Burg,14289,CA,Auto,1867597.25,14387.14,5060.55,2022-05-15,2025-05-14,2023-10-03,596120.74,Submitted,,,2025-08-01
POL-0000278,CLM-00000278,CUST-81418,Richard Gross,261-96-7240,brookssteve@example.com,982.459.3632x80525,85132 Clayton Station,32135,TX,Auto,840853.11,9869.09,4842.94,2025-02-24,2029-02-23,2026-02-16,512893.59,Submitted,,,2025-12-28
POL-0000279,,CUST-88454,Jamie Gordon,609-99-3192,kmiles@example.net,001-977-923-2321x678,902 Donna Oval Suite 541,38559,AZ,Life,910423.44,1969.13,8281.9,2022-03-03,2023-03-03,2022-08-22,670769.67,Submitted,,,2024-10-21
POL-0000280,CLM-00000280,CUST-58884,Robin Horton,914-29-2731,ryan72@example.net,4998201658,056 Hernandez Plaza,,AZ,Auto,860415.49,11505.29,6610.87,2025-01-29,2030-01-28,2025-11-13,543810.36,Settled,Victor Morgan,447205.41,2024-05-03
POL-0000281,CLM-00000281,CUST-48776,Randall Marshall,946-48-4708,alexandra06@example.org,+1-425-328-2252,83104 Moody Garden Suite 931,35939,NC,Health,1075842.28,11492.06,8856.8,2024-02-05,2029-02-03,2025-01-02,168196.05,Settled,John Meyer,108072.71,2025-05-18
POL-0000282,CLM-00000282,CUST-69570,Dr. Mark Johnson,301-80-2075,susandickerson@example.com,001-967-321-2489x87901,85971 Ritter Shore Suite 984,98082,WA,Home,753984.41,8536.66,5886.62,2022-06-26,2025-06-25,2022-08-20,537350.64,Approved,Michelle Davis,,2025-08-22
POL-0000283,CLM-00000283,CUST-20992,Audrey York,292-93-1349,james98@example.org,001-493-575-8855,361 Douglas Harbors Apt. 990,28633,FL,life,1289929.89,16945.59,7886.18,2022-09-29,2026-09-28,2025-08-08,546373.86,Approved,,,2025-04-26
POL-0000284,CLM-00000284,CUST-88928,Catherine Williams,611-36-8386,fischerjoan@example.org,001-795-252-6525,273 Jones Parkways Suite 302,10794,GA,Commercial,1193714.99,9585.23,7019.9,2021-11-02,2023-11-02,2022-04-26,86311.26,Settled,Louis Moyer,71925.85,2024-08-20
POL-0000285,CLM-00000285,CUST-20510,Michael Howard,790-71-6839,ubell@example.com,+1-821-559-7838x5550,7969 Brown Walks Apt. 939,25888,NY,Auto,598025.89,1498.95,4464.59,2021-05-30,2025-05-29,2023-11-19,410907.04,Submitted,,,2025-05-18
POL-0000286,,CUST-73627,Charlotte Martin,423-63-4574,rshaffer@example.net,620.405.3514,911 Edward Station,18595,IL,Auto,1810715.19,4997.44,736.17,2021-02-01,2026-01-31,2022-10-30,894725.24,Approved,Brett White,,2024-05-06
POL-0000287,CLM-00000287,CUST-64436,Amy Bentley,735-63-8871,josephmendoza@example.com,262-957-6932x228,22465 Robert Crest Apt. 246,74864,FL,Home,1180769.04,14459.82,5167.23,2024-05-18,2025-05-18,2025-03-12,837298.14,Under Review,,,2025-04-29
POL-0000288,CLM-00000288,CUST-74504,Jonathan Acosta,304-18-7767,mary49@example.net,484.897.0025,7313 Matthew Street Apt. 715,17628,NC,Life,358450.46,2136.21,4349.03,2022-11-06,2024-11-05,2024-01-01,232461.21,Rejected,Renee Patel,,2024-10-16
POL-0000289,CLM-00000289,CUST-82919,Linda Perry,804-88-8352,carterluis@example.com,+1-491-423-4335x7961,513 Stewart Station Suite 048,20246,FL,Home,1511205.01,12033.2,9914.04,2021-12-05,2022-12-05,2022-05-17,1665936.5520598097,Submitted,,,2024-07-20
POL-0000290,CLM-00000290,CUST-11948,Heidi Smith,174-30-9896,gfoster@example.org,001-384-837-3215x7162,60843 Tyler Centers,30995,NY,Commercial,1173901.4,13766.19,2741.48,2023-06-24,2027-06-23,2023-10-20,599549.84,Rejected,Louis Moyer,,2024-12-06
POL-0000291,CLM-00000291,CUST-73893,Chad Weeks,802-23-6753,brandifitzgerald@example.com,001-327-537-1239,3112 Dana Prairie,16696,CA,Health,166387.72,1266.18,7028.0,2023-07-19,2026-07-18,2025-02-25,104214.9,Approved,Douglas Ferguson,,2026-03-19
POL-0000292,,CUST-44124,Mark House,435-57-8691,wlarsen@example.org,637-877-1831x64074,701 Ruben Station,72952,NC,Home,1827867.56,16344.01,8054.15,2024-07-17,2027-07-17,2025-03-16,802332.41,Under Review,Michelle Davis,,2025-08-13
POL-0000293,,CUST-60445,Darrell Phelps,913-54-8836,denise07@example.com,460-543-6253,7023 Lawrence Squares,22630,AZ,Auto,308572.4,3191.3,3144.81,2020-08-11,2022-08-11,2021-06-16,212880.44,Submitted,,,2024-09-09
POL-0000294,CLM-00000294,CUST-47385,Angela Owens,247-10-7202,kim75@example.com,(392)672-1113,042 Hall Valley Apt. 421,14514,NC,Home,1280685.79,16679.28,1936.52,2024-12-09,2026-12-09,2025-08-16,85101.57,Submitted,,,2026-01-29
POL-0000295,CLM-00000295,CUST-71945,Cynthia Hill,757-13-2980,pbradshaw@example.net,628-398-9196,00338 Erin Canyon,53567,AZ,Commercial,64616.45,454.98,1462.68,2022-05-28,2026-05-27,2023-07-24,43159.6,Rejected,Randy Brown,,2024-05-18
POL-0000296,CLM-00000296,CUST-54953,Samantha Robinson,619-38-7508,greerbradley@example.org,001-701-698-1466,975 Abigail Summit,95031,WA,Commercial,226292.32,2244.76,272.03,2024-10-13,2028-10-12,2025-10-17,42657.8,Approved,Brett White,,2026-03-30
POL-0000297,CLM-00000297,CUST-65302,Victor James,917-62-3681,sarah11@example.org,001-525-510-5585x878,80465 Howard Crescent Suite 384,16499,FL,life,1343565.33,19444.29,8634.23,2021-02-20,2025-02-19,2022-12-11,3323633.406104562,Submitted,,,2024-10-20
POL-0000298,,CUST-41144,Christopher Garner,978-12-6955,fharrison@example.net,5182178895,146 Raymond Junction,73453,CA,Commercial,1090914.59,15323.15,8345.9,2021-04-24,2018-10-01,2021-12-05,753741.66,Submitted,,,2025-07-26
